source_url,source_path,title,content_type,relevance,recommended_action,canonical_target,implementation,content_blocks,downloads,external_links,migration_status
https://www.prexion.com/download-overcoming-rising-costs-and-economic-challenges-in-dentistry/,/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,Download Overcoming Rising Costs and Economic Challenges in Dentistry,landing-page,medium,consolidate,/download-overcoming-rising-costs-and-economic-challenges-in-dentistry,dedicated legacy route,7,0,4,ready-for-implementation
https://www.prexion.com/downloadable-assets/,/downloadable-assets,Downloadable Assets,resource,high,consolidate,/resources,modern grouped page + preserved legacy route,63,0,4,ready-for-implementation
https://www.prexion.com/education-and-support/,/education-and-support,Education & Support,education,high,preserve-resource,/support,canonical modern page + preserved legacy route,19,0,4,ready-for-implementation
https://www.prexion.com/evolve-2d-pan/,/evolve-2d-pan,Evolve 2D (PAN),product,high,create,/product/evolve-2d,canonical modern page + preserved legacy route,18,1,4,ready-for-implementation
https://www.prexion.com/evolve-scan-intraoral-scanner/,/evolve-scan-intraoral-scanner,Evolve Scan,product,high,create,/product/evolve-scan,canonical modern page + preserved legacy route,49,0,4,ready-for-implementation
https://www.prexion.com/evolve-x-ray-hand-held-dental-x-rays/,/evolve-x-ray-hand-held-dental-x-rays,Evolve X-Ray: Hand Held Dental X-Rays,product,high,consolidate,/product/evolve-xray,canonical modern page + preserved legacy route,29,1,5,ready-for-implementation
https://www.prexion.com/explorer-ex-cbct-scanner-complimentary-demo/,/explorer-ex-cbct-scanner-complimentary-demo,Explorer EX CBCT Scanner – Request a Demo (LP),landing-page,high,consolidate,/explorer-ex-cbct-scanner-complimentary-demo,dedicated legacy route,61,1,7,ready-for-implementation
https://www.prexion.com/explorer-ex-cbct-scanner-free-download/,/explorer-ex-cbct-scanner-free-download,Explorer EX CBCT Scanner – Download Brochure (LP),landing-page,high,consolidate,/explorer-ex-cbct-scanner-free-download,dedicated legacy route,53,0,7,ready-for-implementation
https://www.prexion.com/explorer-pro-2/,/explorer-pro-2,PreXion 3D Explorer (LP),landing-page,high,consolidate,/explorer-pro-2,dedicated legacy route,32,0,4,ready-for-implementation
https://www.prexion.com/imaging-products/,/imaging-products,Imaging Products,product,high,create,/product,canonical modern page + preserved legacy route,30,0,4,ready-for-implementation
https://www.prexion.com/leading-imaging-solutions/,/leading-imaging-solutions,Leading Imaging Solutions (LP),landing-page,medium,redirect,/leading-imaging-solutions,dedicated legacy route,33,0,4,ready-for-implementation
https://www.prexion.com/news-2/,/news-2,News,article,medium,redirect,/news,modern grouped page + preserved legacy route,25,0,4,ready-for-implementation
https://www.prexion.com/prexion-3d-evolve/,/prexion-3d-evolve,PreXion 3D Evolve (SFOV),product,high,create,/product/evolve-3d,canonical modern page + preserved legacy route,32,2,5,ready-for-implementation
https://www.prexion.com/prexion-3d-excelsior-cbct-scanner/,/prexion-3d-excelsior-cbct-scanner,Excelsior CBCT Scanner,product,high,create,/product,canonical modern page + preserved legacy route,47,1,5,ready-for-implementation
https://www.prexion.com/prexion-3d-excelsior/,/prexion-3d-excelsior,PreXion 3D Excelsior (LP),landing-page,high,consolidate,/prexion-3d-excelsior,dedicated legacy route,23,0,4,ready-for-implementation
https://www.prexion.com/prexion-3d-expedition/,/prexion-3d-expedition,Expedition CBCT Scanner,product,high,preserve-resource,/product,canonical modern page + preserved legacy route,36,2,4,ready-for-implementation
https://www.prexion.com/prexion-3d-explorer-ex/,/prexion-3d-explorer-ex,Explorer EX CBCT Scanner,product,high,create,/product,canonical modern page + preserved legacy route,59,1,7,ready-for-implementation
https://www.prexion.com/prexion-3d-explorer-pro/,/prexion-3d-explorer-pro,Explorer CBCT Scanner,product,high,create,/product,canonical modern page + preserved legacy route,54,1,4,ready-for-implementation
https://www.prexion.com/prexion-3d-intraoral-sensor/,/prexion-3d-intraoral-sensor,Prexion 3D Intraoral Sensor,product,high,create,/product/evolve-sensor,canonical modern page + preserved legacy route,44,2,4,ready-for-implementation
https://www.prexion.com/prexion-care/,/prexion-care,Prexion Care,support,medium,create,/prexion-care,dedicated legacy route,6,0,4,ready-for-implementation
https://www.prexion.com/prexion-excelsior-endo/,/prexion-excelsior-endo,PreXion Excelsior Endo,product,high,create,/product/excelsior-endo,canonical modern page + preserved legacy route,27,1,5,ready-for-implementation
https://www.prexion.com/prexion-excelsior-max-lfov/,/prexion-excelsior-max-lfov,PreXion Excelsior Max (LFOV),product,high,create,/product/excelsior-max,canonical modern page + preserved legacy route,26,1,5,ready-for-implementation
https://www.prexion.com/prexion-excelsior-mid/,/prexion-excelsior-mid,PreXion Excelsior Mid (MFOV),product,high,consolidate,/product/excelsior-mid,canonical modern page + preserved legacy route,26,1,4,ready-for-implementation
https://www.prexion.com/privacy-policy/,/privacy-policy,Privacy Policy,legal,high,preserve-resource,/privacy-policy,dedicated legacy route,25,0,4,ready-for-implementation
https://www.prexion.com/product-specialists/,/product-specialists,Find a Product Specialist,sales,high,consolidate,/product-specialists,dedicated legacy route,7,0,4,ready-for-implementation
https://www.prexion.com/remote-support/,/remote-support,Remote Support,support,high,create,/support/remote,modern grouped page + preserved legacy route,10,0,5,ready-for-implementation
https://www.prexion.com/request-a-demo/,/request-a-demo,Request a Demo,landing-page,high,create,/contact,canonical modern page + preserved legacy route,6,0,4,ready-for-implementation
https://www.prexion.com/roi-calculator/,/roi-calculator,ROI Calculator,landing-page,high,create,/roi-calculator,dedicated legacy route,12,0,4,ready-for-implementation
https://www.prexion.com/sales-info/,/sales-info,Sales Info,sales,high,consolidate,/contact,canonical modern page + preserved legacy route,11,0,4,ready-for-implementation
https://www.prexion.com/sample-page/,/sample-page,Sample Page,technical,obsolete,exclude-technical,/sample-page,dedicated legacy route,5,0,4,ready-for-implementation
https://www.prexion.com/saudi-international-dental-conference/,/saudi-international-dental-conference,Saudi International Dental Conference (SIDC),article,medium,consolidate,/saudi-international-dental-conference,dedicated legacy route,4,0,6,ready-for-implementation
https://www.prexion.com/subscription-success/,/subscription-success,Subscription Success,thank-you,low,consolidate,/subscription-success,dedicated legacy route,13,0,4,ready-for-implementation
https://www.prexion.com/success-be-more-profitable-more-quickly/,/success-be-more-profitable-more-quickly,Success – Be More Profitable More Quickly,thank-you,medium,consolidate,/success-be-more-profitable-more-quickly,dedicated legacy route,13,1,4,ready-for-implementation
https://www.prexion.com/success-dental-professionals-insights-on-precision-imaging-excellence/,/success-dental-professionals-insights-on-precision-imaging-excellence,Success – Dental Professionals’ Insights on Precision Imaging Excellence,thank-you,medium,redirect,/success-dental-professionals-insights-on-precision-imaging-excellence,dedicated legacy route,13,1,4,ready-for-implementation
https://www.prexion.com/success-explorer-ex-cbct-scanner-free-download/,/success-explorer-ex-cbct-scanner-free-download,Download – Explorer EX CBCT Scanner Product Brochure (LP Download),thank-you,medium,consolidate,/success-explorer-ex-cbct-scanner-free-download,dedicated legacy route,22,1,4,ready-for-implementation
https://www.prexion.com/success-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology/,/success-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,Success – How Your Peers Earn ROI from 3D CBCT Scan Imaging Technology,thank-you,medium,consolidate,/success-how-your-peers-earn-roi-from-3d-cbct-scan-imaging-technology,dedicated legacy route,13,1,4,ready-for-implementation
https://www.prexion.com/success-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses/,/success-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,Success – Mitigating Practice Liability Exposure with Precision Treatment Planning and Diagnoses,thank-you,medium,preserve-resource,/success-mitigating-practice-liability-exposure-with-precision-treatment-planning-and-diagnoses,dedicated legacy route,13,1,4,ready-for-implementation
https://www.prexion.com/success-overcoming-the-rising-costs-and-economic-challenges-in-dentistry/,/success-overcoming-the-rising-costs-and-economic-challenges-in-dentistry,Success – Overcoming the Rising Costs and Economic Challenges in Dentistry,thank-you,medium,preserve-resource,/success-overcoming-the-rising-costs-and-economic-challenges-in-dentistry,dedicated legacy route,13,1,4,ready-for-implementation
https://www.prexion.com/thank-you-for-your-interest-in-prexion-3d-cbct/,/thank-you-for-your-interest-in-prexion-3d-cbct,Thank You For Your Interest in PreXion 3D CBCT (LP),thank-you,medium,consolidate,/thank-you-for-your-interest-in-prexion-3d-cbct,dedicated legacy route,20,1,4,ready-for-implementation
https://www.prexion.com/thank-you/,/thank-you,Thank You,thank-you,low,exclude-technical,/thank-you,dedicated legacy route,3,0,4,ready-for-implementation
https://www.prexion.com/the-art-and-science-of-dentistry-2026-anaheim-ca/,/the-art-and-science-of-dentistry-2026-anaheim-ca,The Art and Science of Dentistry 2026 – Anaheim – CA,event,medium,consolidate,/the-art-and-science-of-dentistry-2026-anaheim-ca,dedicated legacy route,7,0,6,ready-for-implementation
https://www.prexion.com/training-videos/,/training-videos,Training Videos,education,high,preserve-resource,/support/training,modern grouped page + preserved legacy route,32,0,4,ready-for-implementation
https://www.prexion.com/upcoming_events/,/upcoming_events,Upcoming Events,event,medium,consolidate,/events,modern grouped page + preserved legacy route,7,0,4,ready-for-implementation
https://www.prexion.com/why-prexion/,/why-prexion,Why Prexion?,institutional,high,preserve-resource,/about,canonical modern page + preserved legacy route,16,0,4,ready-for-implementation
